years,month,sinkholes,level,algas,Cirsium,Dasylirion,Distichlis,Erigeron,Eustoma,Flaveria,Haploestes,nada,Nerysirenia,Polygala,Prosopis,Sabatia,Samolus,Schoenus,Sesuvium,Sporobolus,Total general
2009,ene,1.89,(en blanco),,,,,,,,,,,,,,0.000003927,,,,0.000003927
2009,ene,1.9,36,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.9,(en blanco),,,,0.0062832,,,0,,,,,,,,0.00973896,,,0.01602216
2009,ene,1.91,0,,,,,,,7.85E-07,,,,,,,,,,,7.85E-07
2009,ene,1.91,(en blanco),,,,,,,0.00565488,,,,,,,0.04531758,,,0.01052436,0.06149682
2009,ene,1.92,0,,,,,,,,,,,,,,0.00439824,,,,0.00439824
2009,ene,1.92,(en blanco),,,,,,,,,,,,,,0.043939203,,,,0.043939203
2009,ene,1.93,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.94,15,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.94,(en blanco),,,,,,,,,,,,,0.00384846,0.016889242,,,0.0011781,0.021915802
2009,ene,1.95,0,,,,0.7854,,,,,,,,,,,,,,0.7854
2009,ene,1.96,0,,,,,,,,,,,,,,0.00879648,,,,0.00879648
2009,ene,1.97,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.97,(en blanco),,,,,,,0,,,,,,,0.004967655,,,,0.004967655
2009,ene,1.98,0,,,,,,,,,,,,,,0.0035343,,,,0.0035343
2009,ene,1.98,(en blanco),,,,0,,,,,,,,,,,,,,0
2009,ene,1.99,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.99,(en blanco),,,,,,,7.85E-07,,,,,,,4.71E-06,,,,5.50E-06
2009,ene,2.1,6,,,,,,,,,,,,,,,0.00070686,,,0.00070686
2009,ene,2.1,(en blanco),,,,,,,,,,,,,,0.02089164,,,,0.02089164
2009,ene,2.11,0,,,,,,,,,,,,,,,0.01343034,,,0.01343034
2009,ene,2.12,3,,,,,,,,,,,,,,0.00047124,,,,0.00047124
2009,ene,2.12,(en blanco),,,,7.85E-07,,,,,,,,,,0.0188496,,,,0.018850385
2009,ene,2.13,0,,,,,,,,,,,,,,0.00047124,,,,0.00047124
2009,ene,2.13,(en blanco),,,,,,,,,,,,,,0.0043197,,,,0.0043197
2009,ene,2.14,0,,,,,,,,,,,,,,,,,7.85E-07,7.85E-07
2009,ene,2.14,(en blanco),,,,7.85E-07,,,,,,,,,,0.01044582,0.0011781,,,0.011624705
2009,ene,2.15,0,,,,,,,,,,,,,,2.36E-06,,,,2.36E-06
2009,ene,2.15,(en blanco),,,,7.85E-07,,,,,,,,,,0.00408408,0.0074613,,,0.011546165
2009,ene,2.16,0,,,,,,,,,,,,,,0.0015708,,,,0.0015708
2009,ene,2.16,(en blanco),,,,,,,,,,,,,,0.00691152,,,,0.00691152
2009,ene,2.17,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,2.17,(en blanco),,,,,,,0.0023562,,,,,,,0.00125664,,,,0.00361284
2009,ene,2.18,0,,,,,,,7.85E-07,,,,,,,,,,,7.85E-07
2009,ene,2.18,(en blanco),,,,,,,,,,,,,,0.0102102,,,,0.0102102
2009,ene,2.19,21,,,,,,,,,,,,,,0.007854,,,,0.007854
2009,ene,2.19,(en blanco),,,,,,,,,,,,,,0.0341649,,,,0.0341649
2009,ene,2.2,0,,,,,,,,,,,,,,,0.000019635,,,0.000019635
2009,ene,2.2,(en blanco),,,,0,,,0,,,,,,,0.004713971,0.0777546,,,0.082468571
2009,ene,2.21,20,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,2.21,(en blanco),,,,7.85E-07,,,0.00007854,,,,,,,0.00219912,0.00094248,,,0.003220925
2009,ene,2.3,0,,,,,,,,,,,,,,,0.00212058,,,0.00212058
2009,ene,2.3,(en blanco),,,,7.85E-07,,,0,,,,,,,,0.01641486,,,0.016415645
2009,ene,2.4,0,,,,,,,,,,,,,,,0.000019635,,,0.000019635
2009,ene,2.4,(en blanco),,,,7.85E-07,,,,,,,,,,,0.01869252,,,0.018693305
2009,ene,2.5,0,,,,,,,,,,,,,,,0.000019635,,,0.000019635
2009,ene,2.5,(en blanco),,,,7.85E-07,,,0,,,,,,,0.00219912,,,,0.002199905
2009,ene,2.6,24,,,,,,,,,,,,,,7.85E-07,,,,7.85E-07
2009,ene,2.6,(en blanco),,,,,,,,,,,,,,0.00094248,0.00251328,,,0.00345576
2009,ene,2.7,0,,,,,,,,,,,,,,,0.000019635,,,0.000019635
2009,ene,2.7,(en blanco),,,,,,,,,,,,,,,0.01209516,,,0.01209516
2009,ene,2.8,8,,,,,,,,,,,,,,0.0047124,,,,0.0047124
2009,ene,2.8,(en blanco),,,,0.0011781,,,,,,,,,,,,,,0.0011781
2009,ene,4.1,13,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,4.1,(en blanco),,,,0.0435897,,,0,,,,,,,,,,,0.0435897
2009,ene,4.2,0,,,,,,,,,,,,,,0.00031416,,,,0.00031416
2009,ene,4.2,(en blanco),,,,,,,,,,,,,,0.007854,,,,0.007854
2009,ene,4.3,0,,,,,,,7.85E-07,,,,,,,,,,,7.85E-07
2009,ene,4.3,(en blanco),,,,,,,,,,,,,,,0.004399025,,,0.004399025
2009,ene,4.4,4,,,,,,,,,,,,,,,7.85E-07,,,7.85E-07
2009,ene,4.4,(en blanco),,,,4.47960744,,,0,,,,,,,0.02112726,,,,4.5007347
2009,ene,4.5,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,4.5,(en blanco),,,,4.4917026,,,0,,,,,,7.85E-07,0.03675672,,,,4.528460105
2009,ene,4.6,7,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,4.7,10,,,,,,,,,,,,,,,0.00070686,,,0.00070686
2009,ene,4.7,(en blanco),,,,,,,,,,,,,,0.02089164,,,,0.02089164
2009,ene,4.8,0,,,,,,,,,,,,,,,0.000019635,,,0.000019635
2009,ene,4.8,(en blanco),,,,,,,0.00007854,,,,,,,0.0047124,,,,0.00479094
2009,ene,4.9,4,,,,,,,,,,,,,,0.00070686,,,,0.00070686
2009,ene,4.9,(en blanco),,,,,,,,,,,,,,0.02693922,,,,0.02693922
2009,ene,5.1,0,,,,,,,,,,,,,,0.0011781,,,,0.0011781
2009,ene,5.1,(en blanco),,,,,,,0.000019635,,,,,,,0.01240932,,,,0.012428955
2009,ene,5.2,2,,,,,,,,,,,,,,,,,0.00007854,0.00007854
2009,ene,5.2,(en blanco),,,,,,,,,,,,,,,,,0,0
2009,ene,6.1,35,,,,,,,,,,,,,,,0.000019635,,,0.000019635
2009,ene,6.1,(en blanco),,,,,,,0.00007854,,,,,,,,0.0094248,,,0.00950334
2009,ene,6.2,6,,,,,,,,,,,,,,0.00188496,,,,0.00188496
2009,ene,6.2,(en blanco),,,,,,,,,,,,,,0.00047124,,,,0.00047124
2009,ene,6.3,0,,,,,,,,,,,,,,0.00094248,,,,0.00094248
2009,ene,6.3,(en blanco),,,,,,,0,,,,,,,0.02222682,,,,0.02222682
2009,ene,6.4,17,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,6.4,(en blanco),,,,,,,0,,,,,,,0.01916376,,,,0.01916376
2009,ene,6.5,0,,,,,,,,,,,,,,7.85E-07,,,,7.85E-07
2009,ene,6.5,(en blanco),,,,,,,,,,,,,,0.0125664,,,,0.0125664
2009,ene,6.6,0,,,,,,,,,,,,,,0.00094248,,,,0.00094248
2009,ene,6.6,(en blanco),,,,0,,,0,,,,,,,0.00408408,0,,,0.00408408
2009,ene,6.7,0,,,,,,,,,,,,,,,,,7.85E-07,7.85E-07
2009,ene,6.7,(en blanco),,,,0,,,0,,,,,,,,0,,0.02324784,0.02324784
2009,ene,6.8,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,6.8,(en blanco),,,,0.03047352,,,0,,,,,,,,0.48600552,,,0.51647904
2009,ene,6.9,0,,,,,,,,,,,,,,,,,0.0007854,0.0007854
2009,ene,6.9,(en blanco),,,,7.85E-07,,,0.00023562,,,,,,,,7.85E-07,,,0.000237191
2009,ene,7.1,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,7.1,(en blanco),,,,7.85E-07,,,0.00329868,,,,,,,0.00361284,,,,0.006912305
2009,ene,7.2,0,,,,,,,,,,,,,,0.0011781,,,,0.0011781
2009,ene,7.2,(en blanco),,,,0.29405376,,,7.85E-07,,,,,,,0.03282972,,,,0.326884265
2009,ene,7.3,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
